NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
7568,HWH,Haltwhistle,North East,Northumberland,370420,563790,Northern,71738
5037,HMT,Ham Street,South East,Ashford,600090,133770,Govia Thameslink Railway,91940
5947,HME,Hamble,South East,Eastleigh,447300,108200,South West Trains,114982
9726,HNC,Hamilton Central,Scotland,South Lanarkshire,272200,655200,ScotRail,847484
9727,HNW,Hamilton West,Scotland,South Lanarkshire,271220,655860,ScotRail,921250
8241,HMM,Hammerton,Yorkshire And The Humber,Harrogate,447030,455825,Northern,26086
5450,HMD,Hampden Park,South East,Eastbourne,560733,102125,Govia Thameslink Railway,505974
1413,HDH,Hampstead Heath,London,Camden (London),527265,185630,London Overground,3372224
5560,HMP,Hampton,London,Richmond upon Thames (London),513300,169803,South West Trains,1048850
5561,HMC,Hampton Court,South East,Elmbridge,515376,168361,South West Trains,1690136
5589,HMW,Hampton Wick,London,Richmond upon Thames (London),517450,169740,South West Trains,984504
1033,HIA,Hampton-In-Arden,West Midlands,Solihull,420500,281270,London Midland Trains,160636
1145,HSD,Hamstead,West Midlands,Birmingham,404915,292580,London Midland Trains,298560
5940,HAM,Hamworthy,South West,Poole,398730,91730,South West Trains,159902
3007,HND,Handborough,South East,West Oxfordshire,443273,214245,Great Western Railway,238580
2767,HTH,Handforth,North West,Cheshire East,385875,383310,Northern,289104
3191,HAN,Hanwell,London,Ealing (London),515390,180520,Great Western Railway,354886
2557,HPN,Hapton,North West,Burnley,379215,431745,Northern,16344
4458,HRL,Harlech,Wales - Cymru,Gwynedd - Gwynedd,258100,331400,Arriva Trains Wales,113562
1521,HDN,Harlesden,London,Brent (London),520940,183370,London Underground,1056082
7374,HRD,Harling Road,East,Breckland,597770,287950,Greater Anglia,3022
1533,HLN,Harlington,East,Central Bedfordshire,503456,230355,Govia Thameslink Railway,330468
6804,HWM,Harlow Mill,East,Harlow,547160,212340,Greater Anglia,227756
6827,HWN,Harlow Town,East,Harlow,544626,211232,Greater Anglia,1908742
6879,HRO,Harold Wood,London,Havering (London),554785,190575,TfL Rail,2973440
1543,HPD,Harpenden,East,St. Albans,513735,214175,Govia Thameslink Railway,3356144
5140,HRM,Harrietsham,South East,Maidstone,586620,152910,Southeastern,74566
6012,HGY,Harringay,London,Haringey (London),531400,188200,Govia Thameslink Railway,1275532
